SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1525,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,16-11-1982 08:00,685,Clear,odour free,"","",""
1526,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-12-1982 08:00,590,Clear,odour free,"","",""
1527,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-12-1982 08:00,520,Clear,odour free,"","",""
1528,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-01-1983 08:00,578,Clear,odour free,"","",""
1529,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-01-1983 08:00,612,Clear,odour free,"","",""
1530,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-02-1983 08:00,701,Clear,odour free,"","",""
1531,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-02-1983 08:00,860,Clear,odour free,"","",""
1532,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-03-1983 08:00,833,Clear,odour free,"","",""
1533,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-03-1983 08:00,786,Clear,odour free,"","",""
1534,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-04-1983 08:00,838,Clear,odour free,"","",""
1535,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-04-1983 08:00,789,Clear,odour free,"","",""
1536,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-05-1983 08:00,1090,Clear,odour free,"","",""
1537,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-06-1983 08:00,953,Clear,odour free,"","",""
1538,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-07-1983 08:00,580,Clear,odour free,"","",""
1539,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-07-1983 08:00,363,Clear,odour free,"","",""
1540,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-08-1983 08:00,470,Clear,odour free,"","",""
1541,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,16-08-1983 08:00,547,Clear,odour free,"","",""
1542,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-09-1983 08:00,547,Clear,odour free,"","",""
1543,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-09-1983 08:00,384,Clear,odour free,"","",""
1544,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-10-1983 08:00,604,Clear,odour free,"","",""
1545,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,18-10-1983 08:00,685,Clear,odour free,"","",""
1546,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-11-1983 08:00,595,Clear,odour free,"","",""
1547,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-11-1983 08:00,730,Clear,odour free,"","",""
1548,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-12-1983 08:00,765,Clear,odour free,"","",""
1549,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-01-1984 08:00,785,Clear,odour free,"","",""
1550,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-02-1984 08:00,734,Clear,odour free,"","",""
1551,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-03-1984 08:00,792,Clear,odour free,"","",""
1552,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-04-1984 08:00,825,Clear,odour free,"","",""
1553,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-05-1984 08:00,671,Clear,odour free,"","",""
1554,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-06-1984 08:00,779,Clear,odour free,"","",""
1555,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-06-1984 08:00,632,Clear,odour free,"","",""
1556,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-07-1984 08:00,868,Other,odour free,"","",""
1557,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,16-07-1984 08:00,803,Clear,odour free,"","",""
1558,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-08-1984 08:00,421,Clear,odour free,"","",""
1559,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,16-08-1984 08:00,739,Clear,odour free,"","",""
1560,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-09-1984 08:00,736,Clear,odour free,"","",""
1561,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-09-1984 08:00,592,Clear,odour free,"","",""
1562,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-10-1984 08:00,657,Clear,odour free,"","",""
1563,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-10-1984 08:00,443,Clear,odour free,"","",""
1564,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-11-1984 08:00,668,Clear,odour free,"","",""
1565,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-11-1984 08:00,695,Clear,odour free,"","",""
1566,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-12-1984 08:00,660,Clear,odour free,"","",""
1567,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-01-1985 08:00,595,Clear,odour free,"","",""
1568,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-02-1985 08:00,622,Clear,odour free,"","",""
1569,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-03-1985 08:00,644,Clear,odour free,"","",""
1570,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-04-1985 08:00,454,Clear,odour free,"","",""
1571,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-05-1985 08:00,644,"",odour free,"","",""
1572,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,03-06-1985 08:00,592,Clear,odour free,"","",""
1573,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,17-06-1985 08:00,641,Clear,odour free,"","",""
1574,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-07-1985 08:00,555,Clear,odour free,"","",""
1575,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-07-1985 08:00,764,Clear,odour free,"","",""
1576,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-08-1985 08:00,743,Clear,odour free,"","",""
1577,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,16-08-1985 08:00,473,Clear,odour free,"","",""
1578,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-09-1985 08:00,705,Clear,odour free,"","",""
1579,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,16-09-1985 08:00,657,Clear,odour free,"","",""
1580,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,03-10-1985 08:00,883,Clear,odour free,"","",""
1581,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-10-1985 08:00,509,Clear,odour free,"","",""
1582,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-11-1985 08:00,662,Clear,odour free,"","",""
1583,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-11-1985 08:00,715,Clear,odour free,"","",""
1584,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-12-1985 08:00,715,Clear,odour free,"","",""
1585,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-01-1986 08:00,660,Clear,odour free,"","",""
1586,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,03-02-1986 08:00,730,Clear,odour free,"","",""
1587,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,03-03-1986 08:00,660,Clear,odour free,"","",""
1588,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-04-1986 08:00,834,Clear,odour free,"","",""
1589,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-05-1986 08:00,1252,Clear,odour free,"","",""
1590,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-06-1986 08:00,814,Clear,odour free,"","",""
1591,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,16-06-1986 08:00,777,Clear,odour free,"","",""
1592,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-07-1986 08:00,759,Clear,odour free,"","",""
1593,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-07-1986 08:00,566,Clear,odour free,"","",""
1594,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-08-1986 08:00,657,Clear,odour free,"","",""
1595,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,16-08-1986 08:00,374,Clear,odour free,"","",""
1596,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-09-1986 08:00,731,Clear,odour free,"","",""
1597,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,16-09-1986 08:00,574,Clear,odour free,"","",""
1598,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-10-1986 08:00,629,Clear,odour free,"","",""
1599,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,15-10-1986 08:00,777,Clear,odour free,"","",""
1600,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,03-11-1986 08:00,783,Clear,odour free,"","",""
1601,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,17-11-1986 08:00,811,Clear,odour free,"","",""
1602,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-12-1986 08:00,770,Clear,odour free,"","",""
1603,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-01-1987 08:00,793,Clear,odour free,"","",""
1604,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-02-1987 08:00,760,Clear,odour free,"","",""
1605,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-03-1987 08:00,806,Clear,odour free,"","",""
1606,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-04-1987 08:00,670,Clear,odour free,"","",""
1607,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-05-1987 08:00,659,Clear,odour free,"","",""
1608,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-06-1987 08:00,725,Clear,odour free,"","",""
1609,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-07-1987 08:00,689,Clear,odour free,"","",""
1610,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-08-1987 08:00,218,Clear,odour free,"","",""
1611,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-09-1987 08:00,453,Clear,odour free,"","",""
1612,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,04-10-1987 08:00,638,Clear,odour free,"","",""
1613,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-11-1987 08:00,607,Clear,odour free,"","",""
1614,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-12-1987 08:00,724,Clear,odour free,"","",""
1615,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-01-1988 08:00,657,Clear,odour free,"","",""
1616,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-02-1988 08:00,672,Clear,odour free,"","",""
1617,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-03-1988 08:00,605,Clear,odour free,"","",""
1618,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,04-04-1988 08:00,635,Clear,odour free,"","",""
1619,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-05-1988 08:00,753,Clear,odour free,"","",""
1620,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-06-1988 08:00,730,Clear,odour free,"","",""
1621,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-07-1988 08:00,707,Clear,odour free,"","",""
1622,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-08-1988 08:00,352,Clear,odour free,"","",""
1623,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-09-1988 08:00,336,Clear,odour free,"","",""
1624,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,03-10-1988 08:00,443,Clear,odour free,"","",""
1625,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-11-1988 08:00,662,Clear,odour free,"","",""
1626,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-12-1988 08:00,720,Clear,odour free,"","",""
1627,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-01-1989 08:00,745,Clear,odour free,"","",""
1628,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-02-1989 08:00,810,Clear,odour free,"","",""
1629,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-03-1989 08:00,833,Clear,odour free,"","",""
1630,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,03-04-1989 08:00,844,Clear,odour free,"","",""
1631,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-05-1989 08:00,986,Clear,odour free,"","",""
1632,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-06-1989 08:00,916,Clear,odour free,"","",""
1633,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,03-07-1989 08:00,666,Clear,odour free,"","",""
1634,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-08-1989 08:00,368,Clear,odour free,"","",""
1635,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-09-1989 08:00,189,Clear,odour free,"","",""
1636,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,03-10-1989 08:00,500,Clear,odour free,"","",""
1637,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-11-1989 08:00,672,Clear,odour free,"","",""
1638,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-12-1989 08:00,920,Clear,odour free,"","",""
1639,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-01-1990 08:00,680,Clear,odour free,"","",""
1640,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-02-1990 08:00,720,Clear,odour free,"","",""
1641,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-03-1990 08:00,740,Clear,odour free,"","",""
1642,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-04-1990 08:00,753,Clear,odour free,"","",""
1643,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-05-1990 08:00,828,Clear,odour free,"","",""
1644,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,01-06-1990 08:00,703,Clear,odour free,"","",""
1645,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,11-06-1990 08:00,538,Clear,odour free,"","",""
1646,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,21-06-1990 08:00,605,Clear,odour free,"","",""
1647,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,02-07-1990 08:00,731,Clear,odour free,"","",""
1648,Keesara,CWC,28,Andhra Pradesh,510,KRISHNA,KANCHIKACHERLA,-,-,Krishna,Krishna,Munneru,-,-,Munneru,16.71472222,80.32027778,11-07-1990 08:00,651,Clear,odour free,"","",""
