SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
320,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-09-2021 08:00,1,"","",""
321,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-09-2021 08:00,1.4,"","",""
322,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-09-2021 08:00,1.81,"","",""
323,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-10-2021 08:00,2.01,"","",""
324,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-10-2021 08:00,3.01,"","",""
325,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-10-2021 08:00,1,"","",""
326,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-11-2021 08:00,1.59,"","",""
327,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,12-11-2021 08:00,1.19,"","",""
328,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,22-11-2021 08:00,2.78,"","",""
329,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-12-2021 08:00,1.77,"","",""
330,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-12-2021 08:00,1.18,"","",""
331,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-12-2021 08:00,1.38,"","",""
332,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-01-2022 08:00,1.19,"","",""
333,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-01-2022 08:00,1.99,"","",""
334,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-01-2022 08:00,1.19,"","",""
335,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-02-2022 08:00,1.4,"","",""
336,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-02-2022 08:00,1,"","",""
337,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-02-2022 08:00,5.4,"","",""
338,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-04-2022 08:00,1.2,"","",""
339,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-04-2022 08:00,0.8,"","",""
340,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-04-2022 08:00,2,"","",""
341,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,02-05-2022 08:00,0.8,"","",""
342,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-05-2022 08:00,0.8,"","",""
343,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-05-2022 08:00,1.2,"","",""
344,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-06-2022 08:00,1.2,"","",""
345,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,13-06-2022 08:00,3.6,"","",""
346,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-06-2022 08:00,3,"","",""
347,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-07-2022 08:00,2.4,"","",""
348,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-07-2022 08:00,1.2,"","",""
349,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-07-2022 08:00,1.8,"","",""
350,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-08-2022 08:00,2.8,"","",""
351,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-08-2022 08:00,2.2,"","",""
352,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,22-08-2022 08:00,2,"","",""
353,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-09-2022 08:00,1.2,"","",""
354,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,12-09-2022 08:00,2,"","",""
355,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-09-2022 08:00,2.2,"","",""
356,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-10-2022 08:00,1.6,"","",""
357,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-10-2022 08:00,2,"","",""
358,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-10-2022 08:00,2.2,"","",""
359,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-11-2022 08:00,3,"","",""
360,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-11-2022 08:00,2.4,"","",""
361,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-11-2022 08:00,1.6,"","",""
362,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-12-2022 08:00,1,"","",""
363,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-01-2023 08:00,2.8,"","",""
364,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-01-2023 08:00,1,"","",""
365,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-02-2023 08:00,1,"","",""
366,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-02-2023 08:00,1,"","",""
367,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-02-2023 08:00,1.8,"","",""
368,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-03-2023 08:00,2.8,"","",""
369,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,13-03-2023 08:00,2.6,"",330,3500
370,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-03-2023 08:00,1.6,"",20,700
371,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-04-2023 08:00,2,"",45,110
372,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-04-2023 08:00,2.8,"",40,68
373,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-04-2023 08:00,5.4,"",20,260
374,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-05-2023 08:00,2.8,"",20,140
375,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-05-2023 08:00,2.8,"",20,110
376,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,22-05-2023 08:00,2.8,"",20,45
377,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-06-2023 08:00,"","",130,170
378,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-07-2023 08:00,3.4,"",92,170
379,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-07-2023 08:00,3.4,"",68,140
380,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-08-2023 08:00,1.6,"",270,1100
381,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-08-2023 08:00,1.4,"",45,1100
382,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-09-2023 08:00,2.4,"",92,200
383,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-09-2023 08:00,2,"",140,700
384,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-09-2023 08:00,1.2,"",170,390
385,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,03-10-2023 08:00,1.4,"",320,3500
386,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-10-2023 08:00,2,"",170,2200
387,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,13-11-2023 08:00,1.6,"",92,170
388,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-11-2023 08:00,1.4,"",220,330
389,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-12-2023 08:00,2,"",68,140
390,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-12-2023 08:00,1.6,"",210,330
391,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,05-05-2024 08:00,2.6,"",140,1700
392,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-06-2024 08:00,2.6,"",1100,2800
393,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-06-2024 08:00,1.4,"",170,2800
394,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-08-2024 08:00,1.2,"",260,1400
395,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,12-08-2024 08:00,1.2,"",270,1700
396,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-08-2024 08:00,1.4,"",260,2200
397,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,02-09-2024 08:00,2.3,"",270,1700
398,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-09-2024 08:00,2.9,"",260,2800
399,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-09-2024 08:00,1.9,"",260,2200
400,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-10-2024 08:00,1.3,"",270,1700
401,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,10-10-2024 08:00,2.5,"",260,2200
402,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-10-2024 08:00,1.1,"",140,1700
403,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,04-11-2024 08:00,1.2,"",260,2800
404,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-11-2024 08:00,1.4,"",140,1700
405,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-11-2024 08:00,2,"",270,1700
406,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,02-12-2024 08:00,2,"",270,1700
407,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-12-2024 08:00,1,"",140,1700
408,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,20-12-2024 08:00,2.4,"",260,2800
409,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-01-2025 08:00,1.2,"",260,2200
410,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,10-01-2025 08:00,1.6,"",140,1700
411,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-01-2025 08:00,1.4,"",270,1700
412,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-02-2025 08:00,1.5,"",140,1700
413,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-02-2025 08:00,0.6,"",260,2800
414,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-02-2025 08:00,0.8,"",260,2200
415,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,01-03-2025 08:00,1.2,"",220,2200
416,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,11-03-2025 08:00,2.3,"",170,1700
417,Chennur,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHENNUR,-,-,Pennar,Pennar,-,-,-,Pennar,14.57222222,78.80000000,21-03-2025 08:00,2.3,"",220,700
418,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-01-2021 09:00,1.6,"",2200,22.57
419,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-02-2021 08:00,3.7,"","",""
420,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-03-2021 08:00,1.9,"",340,2200
421,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,05-04-2021 08:30,0.6,"",70,120
422,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,11-06-2021 08:00,4.9,"",1700,2200
423,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,21-06-2021 08:00,"","",80,220
424,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-07-2021 08:30,1.6,"",140,170
425,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,11-07-2021 08:30,1.6,"",330,390
426,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,22-07-2021 09:00,0.8,"",170,390
427,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,02-08-2021 08:30,1.4,"",78,140
428,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,11-08-2021 08:33,1.1,"",490,940
429,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,23-08-2021 09:00,3.2,"",490,940
430,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-09-2021 10:00,2,"",790,1100
431,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,13-09-2021 09:15,1,"",330,490
432,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,21-09-2021 08:00,1.6,"",340,1100
433,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-10-2021 09:30,4,"",940,1400
434,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,11-10-2021 10:00,2.2,"",270,790
435,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,21-10-2021 08:00,3.2,"",390,1400
436,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-11-2021 08:30,1.8,"",790,1400
437,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,11-11-2021 09:15,5.5,"",940,1400
438,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,22-11-2021 08:00,2.7,"",1700,2200
439,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-12-2021 08:00,3.6,"","",""
440,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,10-12-2021 08:30,1.6,"",940,1700
441,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,21-12-2021 08:55,2.2,"",1100,1400
442,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-07-2022 08:00,0.4,"","",""
443,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,11-07-2022 08:00,1.2,"","",""
444,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,21-07-2022 08:00,1.2,"","",""
445,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-08-2022 08:00,2.27,"","",""
446,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,11-08-2022 08:00,0.6,"","",""
447,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,22-08-2022 08:00,0.89,"","",""
448,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,01-09-2022 08:00,2.1,"","",""
449,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,12-09-2022 08:00,1.3,"","",""
450,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,21-09-2022 08:00,1.4,"","",""
451,GodavariRlyBridge(Rajahmundry),CWC,28,Andhra Pradesh,505,EAST GODAVARI,RAJAHMUNDRY(U),-,-,Godavari,Godavari,-,-,-,Godavari,17.00694444,81.76694444,03-10-2022 08:00,0.9,"","",""
