,count,mean,std,min,25%,50%,75%,max
total_phosphorus_mgp_l,2668.0,0.11695727136431783,0.3847990857334504,0.0,0.001,0.001,0.05,6.0
arsenic_mg_l,91.0,4.036556043956044,8.158315371668465,0.0,1.205,1.87,3.59,55.31
total_alkalinity_mg_l_as_caco3,4483.0,125.92848689571716,59.802052465429206,8.077644,88.03279,116.96721,153.03279,623.0328
cadmium_mg_l,129.0,1.8417519379844962,10.65221585958689,0.0,0.007,0.12,1.02,120.0
chromium_mg_l,135.0,4.882999999999999,8.475858624228604,0.0,0.555,1.7,5.375,60.0
iron_mg_l,3592.0,0.08190031013363029,0.21850843329193778,0.0,0.01,0.0186,0.0744,5.5893
hardness_calcium_mgcaco3_l,135.0,170.28191851851852,186.2143179312824,20.0,64.0,105.0,154.5,757.832
mercury_mg_l,32.0,0.8471000000000001,2.867828734257375,0.0,0.001,0.2515,0.6008,16.43
hardness_magnesium_mg_l_as_caco3,0.0,,,,,,,
total_hardness_mgcaco3_l,4486.0,155.18906075234062,65.689581024455,20.206133,109.494595,151.078305,190.8682225,1064.48
manganese_mg_l,11.0,0.009090909090909092,0.007502726777039738,0.0,0.005,0.01,0.01,0.026
nickel_mg_l,90.0,11.554855555555557,35.24855902531228,0.0,2.1225,4.365,9.82,325.55
lead_mg_l,135.0,9.884125925925924,19.50690302631492,0.0,0.71,2.09,8.0735,122.0
zinc_mg_l,112.0,23.819285714285716,64.08530124403923,0.0,4.0,9.0,22.575,550.3
sodium_adsorption_ratio,4309.0,2.0870391696010673,1.6569614407750795,0.038619146,0.87746185,1.6129556,2.966514,30.505756
copper_mg_l,104.0,6.737048076923077,8.949243219487872,0.0,2.0,3.4000000000000004,7.3575,56.93
electric_conductivity_s_cm,5235.0,595.9262139446037,296.66691707748885,7.8,381.5,576.0,773.5,2740.0
turbidity_ntu,146.0,25.52078082191781,50.91224257531957,0.0,1.0,2.6,17.884999999999998,254.7
total_solids_mg_l,0.0,,,,,,,
